               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.012468,           0.0037577,           0.0001631,             0.98645,             0.99074,             0.98565,             0.84826,            0.011003,            0.002329,          0.00013432,           0.0029875,           0.0029875,           0.0029875
                  36,            0.012439,           0.0036824,          0.00015287,             0.98474,             0.98775,             0.98382,             0.83673,            0.011047,           0.0023635,          0.00012528,           0.0027813,           0.0027813,           0.0027813
                  37,            0.012118,           0.0036339,          0.00014593,             0.98153,             0.98469,             0.98306,             0.83594,            0.011119,           0.0024481,           0.0001248,            0.002575,            0.002575,            0.002575
                  38,            0.011848,           0.0036585,          0.00014177,             0.97647,             0.98788,             0.98423,             0.84254,            0.011192,           0.0024037,          0.00011455,           0.0023687,           0.0023687,           0.0023687
                  39,            0.011664,           0.0036213,          0.00013019,              0.9766,             0.98639,             0.98262,             0.84175,            0.010896,           0.0023775,           0.0001098,           0.0021625,           0.0021625,           0.0021625
                  40,            0.011568,           0.0035684,          0.00012184,             0.97644,             0.98698,             0.98407,             0.84545,            0.011028,           0.0023967,          9.8291e-05,           0.0019563,           0.0019563,           0.0019563
                  41,            0.011438,           0.0035845,          0.00011761,             0.98443,              0.9898,             0.98416,             0.84424,             0.01098,           0.0023316,          9.6567e-05,             0.00175,             0.00175,             0.00175
                  42,            0.011362,           0.0035088,          0.00011037,             0.98586,              0.9898,              0.9836,             0.84498,            0.010757,            0.002255,          9.1621e-05,           0.0015438,           0.0015438,           0.0015438
                  43,            0.010993,           0.0034991,          0.00010645,             0.98313,              0.9913,              0.9835,              0.8463,            0.010633,           0.0022491,          8.6017e-05,           0.0013375,           0.0013375,           0.0013375
                  44,            0.010938,           0.0035517,          0.00010604,             0.98644,             0.98962,             0.98354,             0.84596,            0.010823,           0.0022947,          8.0977e-05,           0.0011312,           0.0011312,           0.0011312
                  45,             0.01078,           0.0034357,          0.00010095,             0.98615,              0.9898,             0.98375,             0.84674,            0.010842,           0.0022969,          7.4931e-05,            0.000925,            0.000925,            0.000925
                  46,            0.010774,           0.0034421,          9.6958e-05,             0.98643,             0.98916,             0.98372,             0.84582,            0.010924,            0.002264,          7.4287e-05,          0.00071875,          0.00071875,          0.00071875
                  47,            0.010661,             0.00343,          9.4951e-05,             0.98624,              0.9898,             0.98349,             0.84848,            0.010649,           0.0022562,           7.115e-05,           0.0005125,           0.0005125,           0.0005125
