               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.016064,           0.0041001,          0.00031584,             0.95962,              0.9595,             0.98492,             0.85144,            0.010329,           0.0025292,          0.00050339,            0.007195,            0.007195,            0.007195
                  36,            0.015948,           0.0040322,          0.00022409,             0.96949,             0.95128,             0.98624,             0.85292,            0.010314,           0.0025121,          0.00053159,           0.0071125,           0.0071125,           0.0071125
                  37,            0.015786,           0.0040126,          0.00023502,             0.95784,             0.95877,             0.98645,             0.85535,            0.010275,           0.0025025,          0.00057806,             0.00703,             0.00703,             0.00703
                  38,            0.015737,           0.0040202,          0.00023882,             0.96924,             0.94903,             0.98562,             0.85035,            0.010207,           0.0024809,           0.0006086,           0.0069475,           0.0069475,           0.0069475
                  39,             0.01571,           0.0039897,          0.00028255,             0.96178,             0.95347,             0.98741,             0.85443,            0.010223,           0.0024812,          0.00059795,            0.006865,            0.006865,            0.006865
                  40,            0.015866,           0.0040203,           0.0002852,              0.9639,             0.95421,             0.98554,             0.85533,            0.010226,           0.0024831,          0.00052808,           0.0067825,           0.0067825,           0.0067825
                  41,            0.015717,           0.0040097,          0.00024113,             0.96856,             0.95291,             0.98413,             0.85093,            0.010236,           0.0024809,          0.00051454,              0.0067,              0.0067,              0.0067
                  42,            0.015697,           0.0039806,          0.00022893,             0.97071,             0.95523,             0.98637,             0.84961,            0.010237,           0.0024774,          0.00053027,           0.0066175,           0.0066175,           0.0066175
                  43,            0.015624,           0.0039577,          0.00022718,             0.96911,             0.95366,              0.9849,             0.84768,            0.010175,            0.002469,          0.00052834,            0.006535,            0.006535,            0.006535
                  44,             0.01552,           0.0039589,           0.0002325,             0.96961,             0.95229,             0.98472,             0.84942,             0.01012,           0.0024608,          0.00054056,           0.0064525,           0.0064525,           0.0064525
                  45,            0.015742,           0.0040222,          0.00031282,             0.97289,             0.94626,             0.98441,             0.85113,            0.010136,           0.0024568,          0.00052135,             0.00637,             0.00637,             0.00637
                  46,            0.015381,           0.0039467,          0.00022937,             0.97114,             0.94578,             0.98497,             0.85034,            0.010131,           0.0024521,          0.00053985,           0.0062875,           0.0062875,           0.0062875
                  47,             0.01534,            0.003894,            0.000224,             0.97116,             0.94605,             0.98476,             0.85127,            0.010134,            0.002454,          0.00055373,            0.006205,            0.006205,            0.006205
                  48,            0.015387,           0.0039254,          0.00026848,             0.96858,             0.94242,             0.98403,             0.85223,            0.010166,           0.0024616,          0.00055239,           0.0061225,           0.0061225,           0.0061225
                  49,            0.015192,           0.0039217,          0.00021339,             0.96073,             0.95576,             0.98536,             0.85165,            0.010137,           0.0024508,          0.00054604,             0.00604,             0.00604,             0.00604
                  50,             0.01527,           0.0038989,          0.00023083,             0.96565,             0.95595,              0.9858,             0.85162,            0.010147,           0.0024481,          0.00050706,           0.0059575,           0.0059575,           0.0059575
                  51,            0.015142,           0.0038818,          0.00021767,             0.96183,              0.9578,             0.98521,             0.85258,            0.010098,           0.0024397,          0.00052368,            0.005875,            0.005875,            0.005875
